Fecha,Precipitacion,Latitud,Longitud,DPTO,LOC
2021-11-01,74.06138610839844,-37.65971292,-64.13969529,GUATRACHE,Peru
2021-12-01,112.661376953125,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-01-01,28.873931884765625,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-02-01,65.44358825683594,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-03-01,98.55477142333984,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-04-01,68.99208068847656,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-05-01,18.803279876708984,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-06-01,6.3888444900512695,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-07-01,32.35798645019531,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-08-01,11.000988006591797,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-09-01,37.62158966064453,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-10-01,78.605712890625,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-11-01,58.504844665527344,-37.65971292,-64.13969529,GUATRACHE,Peru
2022-12-01,31.224552154541016,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-01-01,79.78253173828125,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-02-01,13.212995529174805,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-03-01,102.63561248779297,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-04-01,44.105224609375,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-05-01,24.897884368896484,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-06-01,19.160022735595703,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-07-01,23.359323501586914,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-08-01,19.659582138061523,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-09-01,21.382413864135742,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-10-01,72.54252624511719,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-11-01,47.4862174987793,-37.65971292,-64.13969529,GUATRACHE,Peru
2023-12-01,142.3834686279297,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-01-01,34.499446868896484,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-02-01,71.48363494873047,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-03-01,76.0557632446289,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-04-01,84.26025390625,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-05-01,7.495070457458496,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-06-01,22.660436630249023,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-07-01,5.13388729095459,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-08-01,22.66714096069336,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-09-01,37.69346618652344,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-10-01,48.99457550048828,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-11-01,91.96392822265625,-37.65971292,-64.13969529,GUATRACHE,Peru
2024-12-01,28.079998016357422,-37.65971292,-64.13969529,GUATRACHE,Peru
2014-01-01,36.105751037597656,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-02-01,65.89017486572266,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-03-01,63.79568862915039,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-04-01,75.63951110839844,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-05-01,41.50482940673828,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-06-01,11.723466873168945,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-07-01,25.087261199951172,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-08-01,20.126873016357422,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-09-01,32.39689254760742,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-10-01,124.56098175048828,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-11-01,40.56511306762695,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-12-01,24.013050079345703,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-01-01,57.032012939453125,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-02-01,73.71739959716797,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-03-01,67.69134521484375,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-04-01,75.33283233642578,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-05-01,30.574535369873047,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-06-01,6.693097114562988,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-07-01,11.238768577575684,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-08-01,24.39929962158203,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-09-01,36.8261604309082,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-10-01,98.24827575683594,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-11-01,47.249019622802734,-37.12042933,-64.51205467,UTRACAN,Quehue
2015-12-01,106.00621032714844,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-01-01,114.81260681152344,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-02-01,119.51152801513672,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-03-01,25.597915649414062,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-04-01,69.94271850585938,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-05-01,40.982276916503906,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-06-01,11.596384048461914,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-07-01,17.808683395385742,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-08-01,8.165998458862305,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-09-01,23.030738830566406,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-10-01,175.11268615722656,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-11-01,41.2705078125,-37.12042933,-64.51205467,UTRACAN,Quehue
2016-12-01,35.11204528808594,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-01-01,62.26996994018555,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-02-01,116.4307632446289,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-03-01,134.264404296875,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-04-01,71.1093521118164,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-05-01,47.10026550292969,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-06-01,24.841787338256836,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-07-01,19.111919403076172,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-08-01,19.872364044189453,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-09-01,62.76179885864258,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-10-01,56.487586975097656,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-11-01,53.790916442871094,-37.12042933,-64.51205467,UTRACAN,Quehue
2017-12-01,44.777095794677734,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-01-01,39.87146759033203,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-02-01,59.055809020996094,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-03-01,28.20920181274414,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-04-01,32.85039138793945,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-05-01,34.29363250732422,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-06-01,8.975617408752441,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-07-01,23.892322540283203,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-08-01,17.8504581451416,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-09-01,47.55885314941406,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-10-01,45.34555435180664,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-11-01,60.49711990356445,-37.12042933,-64.51205467,UTRACAN,Quehue
2018-12-01,69.8975830078125,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-01-01,79.9383316040039,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-02-01,14.927709579467773,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-03-01,44.84716033935547,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-04-01,27.442806243896484,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-05-01,36.707069396972656,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-06-01,18.916040420532227,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-07-01,6.063156604766846,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-08-01,8.109556198120117,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-09-01,7.790339469909668,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-10-01,52.077545166015625,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-11-01,50.889278411865234,-37.12042933,-64.51205467,UTRACAN,Quehue
2019-12-01,37.77533721923828,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-01-01,76.86151885986328,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-02-01,61.003753662109375,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-03-01,69.7681655883789,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-04-01,79.02359008789062,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-05-01,11.34260368347168,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-06-01,11.206363677978516,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-07-01,15.475505828857422,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-08-01,12.59193229675293,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-09-01,43.15930938720703,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-10-01,35.18678665161133,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-11-01,48.59980773925781,-37.12042933,-64.51205467,UTRACAN,Quehue
2020-12-01,62.525875091552734,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-01-01,93.94598388671875,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-02-01,20.24692153930664,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-03-01,72.40699005126953,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-04-01,98.7841796875,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-05-01,29.07991600036621,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-06-01,6.920744895935059,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-07-01,6.008269786834717,-37.12042933,-64.51205467,UTRACAN,Quehue
