Fecha,modis_date,NDVI,NDVI_crudo,tile,producto,banda,lat,long,DPTO,LOC
2016-05-24,A2016145,0.434,4340,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-06-09,A2016161,0.382,3820,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-06-25,A2016177,0.2626,2626,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-07-11,A2016193,0.36160000000000003,3616,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-07-27,A2016209,0.302,3020,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-08-12,A2016225,0.3836,3836,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-08-28,A2016241,0.34700000000000003,3470,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-09-13,A2016257,0.3158,3158,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-09-29,A2016273,0.38980000000000004,3898,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-10-15,A2016289,0.39640000000000003,3964,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-10-31,A2016305,0.4353,4353,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-11-16,A2016321,0.4252,4252,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-12-02,A2016337,0.3907,3907,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-12-18,A2016353,0.3387,3387,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-01-01,A2017001,0.3045,3045,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-01-17,A2017017,0.271,2710,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-02-02,A2017033,0.3753,3753,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
